Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.0884167,0.84468496,711.0,-0.7199999809265136,-0.7199999809265136,0.051917575,0.0668742,0.0002999671,0.19998902,0.0049994527,1.0
20000,1.0889193,0.55391055,840.0909090909091,-0.9363636211915449,-0.9363636211915449,0.02708757,0.06725313,0.00029991078,0.19997025,0.0049985154,1.0
30000,1.085741,0.22608699,1077.6,-0.3699999928474426,-0.3699999928474426,0.0118601285,0.06482488,0.0002998485,0.19994949,0.00499748,1.0
40000,1.0703655,0.101612024,343.2173913043478,0.5739130455514659,0.5739130455514659,0.008775164,0.071693175,0.00029978616,0.19992873,0.0049964427,1.0
50000,1.0025916,0.25806335,180.28048780487805,0.9259259259259259,0.9259259259259259,0.01439788,0.06656432,0.00029973025,0.19991007,0.0049955123,1.0
60000,0.49173272,0.73276895,33.73103448275862,1.0,1.0,0.0070268377,0.07089992,0.0002996744,0.19989148,0.0049945833,1.0
70000,0.13649978,0.87406296,27.011204481792717,1.0,1.0,0.00013729042,0.06810664,0.00029961253,0.19987084,0.0049935547,1.0
80000,0.025468573,0.87933505,26.124661246612465,1.0,1.0,4.6540226e-05,0.066166945,0.00029955056,0.19985019,0.004992524,1.0
90000,0.007990969,0.88015014,26.024324324324326,1.0,1.0,3.5080455e-05,0.07211534,0.00029948875,0.19982958,0.004991496,1.0
100000,0.0033324084,0.8799142,26.02972972972973,1.0,1.0,2.9581972e-05,0.06928486,0.00029942713,0.19980904,0.004990471,1.0
110000,0.0017654547,0.88018924,26.008108108108107,1.0,1.0,2.349125e-05,0.07003073,0.00029936546,0.19978848,0.0049894447,1.0
120000,0.0009354295,0.8801653,26.01081081081081,1.0,1.0,1.8305378e-05,0.06447301,0.00029930996,0.19976999,0.004988522,1.0
130000,0.0007196247,0.88006014,26.0,1.0,1.0,1.3392191e-05,0.06947736,0.00029925452,0.19975151,0.0049876003,1.0
140000,0.0007229908,0.8799385,26.0,1.0,1.0,1.0325931e-05,0.064571,0.00029919297,0.19973098,0.0049865763,1.0
150000,0.00071583944,0.87999356,26.0,1.0,1.0,8.178073e-06,0.06515363,0.00029913144,0.19971047,0.0049855523,1.0
160000,0.00048082374,0.87958634,26.005390835579515,1.0,1.0,6.030553e-06,0.06446907,0.00029906983,0.19968995,0.004984528,1.0
170000,0.00041714605,0.8800158,26.002702702702702,1.0,1.0,4.364531e-05,0.06872503,0.00029900827,0.19966944,0.004983504,1.0
180000,0.000497587,0.8802218,26.005420054200542,1.0,1.0,4.786888e-06,0.06319844,0.0002989467,0.1996489,0.00498248,1.0
190000,0.0001727453,0.87940705,26.0,1.0,1.0,4.0964287e-06,0.06488703,0.00029888513,0.19962838,0.004981456,1.0
